time ,GDP,income
2016 Q2,489494,342942
2016 Q3,493730,333024
2016 Q4,500974,339565
2017 Q1,507028,319767
2017 Q2,508869,350943
2017 Q3,514258,341958
2017 Q4,519474,353872
2018 Q1,522891,336359
2018 Q2,526394,363800
2018 Q3,532444,356059
2018 Q4,535995,370171
